,Yr,Team,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
0,1980,Hiroshim,4.18,130,4867,4319,544,1134,161,27,161,516,108,61,384,716,.263,.328,.424,.752,1832,89,51,88,25,28
0,1980,Yokohama,4.11,130,4849,4338,534,1124,180,22,135,509,93,70,399,773,.259,.323,.404,.727,1753,88,22,62,28,29
0,1980,Hanshin ,4.01,130,4899,4396,521,1152,160,16,134,492,87,58,365,660,.262,.322,.397,.719,1746,85,37,76,25,32
0,1980,Yomiuri ,3.90,130,4760,4207,507,1024,154,17,153,482,83,47,362,705,.243,.307,.397,.704,1671,94,42,113,36,21
0,1980,Chunichi,3.81,130,4833,4387,495,1145,168,15,134,472,50,51,299,711,.261,.313,.398,.711,1745,95,42,88,17,32
0,1979,Hiroshim,4.62,130,4894,4293,601,1103,154,17,172,567,143,53,460,756,.257,.334,.421,.755,1807,104,48,68,25,34
0,1979,Yokohama,4.58,130,4942,4365,595,1162,206,18,135,569,69,39,429,792,.266,.334,.414,.748,1809,86,30,88,30,31
0,1979,Chunichi,4.53,130,4924,4394,589,1177,191,15,155,570,38,42,357,750,.268,.328,.424,.752,1863,95,51,96,26,30
0,1979,Hanshin ,4.30,130,4865,4389,559,1178,157,21,172,534,70,48,368,764,.268,.327,.431,.758,1893,112,28,54,26,21
0,1979,Yomiuri ,4.26,130,4850,4341,554,1123,171,16,154,532,72,39,377,701,.259,.320,.412,.732,1788,90,31,73,28,38
0,1979,Yakult S,4.23,130,4845,4313,550,1085,159,9,157,531,63,39,369,804,.252,.316,.402,.718,1733,74,44,100,19,17
0,1978,Hiroshim,5.48,130,5027,4377,713,1244,205,18,205,692,54,69,481,699,.284,.360,.480,.839,2100,101,53,82,34,42
0,1978,Yakult S,4.98,130,4928,4338,648,1211,190,18,157,628,62,44,392,609,.279,.342,.440,.782,1908,106,44,112,42,24
0,1978,Yomiuri ,4.66,130,4983,4307,606,1163,184,26,136,570,111,42,471,580,.270,.344,.420,.764,1807,82,37,125,43,34
0,1978,Yokohama,4.58,130,4946,4368,596,1192,227,29,132,575,64,34,433,713,.273,.341,.429,.770,1873,95,35,75,35,34
0,1978,Hanshin ,4.09,130,4882,4310,532,1095,154,15,139,525,54,45,410,666,.254,.323,.394,.717,1696,84,44,93,25,28
0,1978,Chunichi,3.92,130,4805,4271,509,1078,147,7,141,488,36,47,410,685,.252,.322,.389,.711,1662,95,36,71,17,27
0,1977,Yomiuri ,4.98,130,5008,4327,648,1212,172,28,181,628,102,37,468,545,.280,.354,.458,.812,1983,74,47,125,41,30
0,1977,Taiyo Wh,4.95,130,4991,4388,643,1176,189,15,176,625,71,39,456,820,.268,.340,.438,.778,1923,90,40,74,33,25
0,1977,Hiroshim,4.64,130,4897,4334,603,1161,191,18,163,577,124,47,420,709,.268,.335,.433,.768,1877,97,31,84,28,29
0,1977,Yakult S,4.56,130,4881,4315,593,1151,184,22,170,575,71,34,373,660,.267,.330,.438,.768,1889,84,50,109,34,34
0,1977,Chunichi,4.42,130,4887,4376,575,1203,165,18,176,558,69,41,355,661,.275,.335,.441,.777,1932,105,54,82,20,15
0,1977,Hanshin ,4.29,130,4873,4311,558,1150,162,19,184,541,67,37,413,676,.267,.335,.441,.776,1902,108,42,85,22,25
0,1976,Yomiuri ,5.08,130,5036,4402,661,1232,193,27,167,632,79,30,447,590,.280,.351,.450,.801,1980,76,58,89,40,45
0,1976,Hanshin ,4.63,130,4792,4251,602,1095,174,22,193,575,77,38,416,698,.258,.326,.445,.771,1892,101,32,60,33,27
0,1976,Hiroshim,4.51,130,4824,4322,586,1169,191,24,169,572,86,55,356,621,.270,.329,.443,.772,1915,121,36,75,35,31
0,1976,Chunichi,3.99,130,4842,4382,519,1164,198,17,138,492,50,43,322,715,.266,.320,.413,.733,1810,105,42,69,27,12
0,1976,Yakult S,3.88,130,4782,4256,504,1106,163,18,128,478,41,46,373,642,.260,.324,.397,.721,1689,111,41,90,22,28
0,1976,Taiyo Wh,3.71,130,4757,4326,482,1108,186,13,172,467,51,36,300,689,.256,.307,.424,.732,1836,99,32,74,25,17
0,1975,Chunichi,4.01,130,4809,4324,521,1173,176,17,133,511,76,60,345,625,.271,.329,.412,.741,1782,106,42,72,26,36
0,1975,Hiroshim,3.92,130,4723,4281,510,1096,159,15,131,489,124,53,330,537,.256,.313,.392,.705,1678,101,36,46,30,33
0,1975,Taiyo Wh,3.72,130,4774,4350,484,1084,146,19,137,467,78,48,298,655,.249,.301,.386,.687,1679,96,29,80,17,22
0,1975,Hanshin ,3.67,130,4832,4273,477,1076,151,31,128,465,31,35,417,658,.252,.323,.392,.715,1673,115,48,67,27,44
0,1975,Yomiuri ,3.64,130,4785,4191,473,987,126,18,117,453,63,38,439,694,.236,.314,.358,.671,1500,87,51,75,29,42
0,1975,Yakult S,3.36,130,4808,4317,437,1057,152,16,101,407,69,54,336,662,.245,.304,.358,.662,1544,99,43,86,26,34
0,1974,Yomiuri ,4.53,130,4854,4222,589,1070,157,22,159,570,64,40,460,635,.253,.332,.414,.746,1748,105,57,80,35,56
0,1974,Chunichi,4.32,130,4812,4310,561,1137,186,13,150,538,61,57,354,670,.264,.324,.417,.741,1799,116,40,81,27,17
0,1974,Taiyo Wh,4.06,130,4778,4354,528,1155,149,18,143,501,76,44,327,578,.265,.319,.406,.725,1769,121,24,53,20,18
0,1974,Hanshin ,3.52,130,4739,4180,457,992,156,21,136,444,41,36,395,713,.237,.311,.382,.693,1598,104,60,83,21,38
0,1974,Hiroshim,3.50,128,4664,4235,448,1025,146,12,127,429,49,40,292,677,.242,.296,.372,.668,1576,121,43,72,22,23
0,1974,Yakult S,3.48,130,4718,4225,453,986,167,17,111,426,94,61,354,679,.233,.296,.360,.656,1520,78,30,87,22,34
0,1973,Yomiuri ,4.35,130,4912,4318,565,1094,150,17,149,540,77,33,442,598,.253,.325,.399,.724,1725,91,29,91,32,54
0,1973,Chunichi,3.39,130,4766,4248,441,1027,152,10,108,419,82,59,365,645,.242,.307,.359,.665,1523,120,44,83,26,23
0,1973,Hanshin ,3.33,130,4809,4263,433,998,135,11,115,417,41,33,381,753,.234,.302,.352,.653,1500,93,40,103,22,48
0,1973,Taiyo Wh,3.25,130,4749,4318,423,1049,140,9,125,399,45,29,303,630,.243,.296,.366,.662,1582,125,33,67,28,19
0,1973,Hiroshim,3.00,130,4723,4198,390,938,135,18,104,365,59,49,389,703,.223,.293,.338,.632,1421,103,34,81,21,36
0,1973,Yakult A,2.90,130,4668,4189,377,957,148,16,78,359,60,61,307,683,.228,.283,.327,.610,1371,89,20,130,22,31
0,1972,Yomiuri ,4.52,130,4931,4311,587,1097,138,17,158,562,102,48,470,494,.254,.332,.404,.736,1743,120,45,75,30,50
0,1972,Yakult A,4.08,130,4887,4313,530,1094,196,27,115,499,102,72,383,702,.254,.318,.392,.709,1689,76,37,120,34,44
0,1972,Hiroshim,3.71,130,4939,4372,482,1092,171,9,117,469,73,55,387,692,.250,.318,.373,.692,1632,105,65,91,24,24
0,1972,Taiyo Wh,3.70,130,4731,4274,481,1036,150,15,135,466,44,31,346,629,.242,.301,.379,.681,1621,131,24,65,22,18
0,1972,Hanshin ,3.62,130,4808,4317,470,1032,168,18,125,449,45,44,369,769,.239,.302,.373,.675,1611,109,31,71,20,45
0,1972,Chunichi,3.48,130,4740,4256,452,988,140,20,123,429,55,58,364,688,.232,.296,.361,.657,1537,115,34,62,24,24
0,1971,Yomiuri ,4.14,130,4885,4261,538,1077,178,25,123,511,149,62,460,565,.253,.331,.393,.723,1674,92,51,81,32,40
0,1971,Chunichi,3.36,130,4700,4218,437,954,146,16,127,420,104,60,351,715,.226,.290,.359,.648,1513,89,35,74,22,30
0,1971,Yakult A,3.28,130,4720,4241,427,993,168,22,94,403,81,58,305,713,.234,.290,.351,.641,1487,72,43,102,29,27
0,1971,Hiroshim,3.25,130,4721,4189,422,976,139,10,89,400,104,58,368,645,.233,.302,.335,.637,1402,104,59,81,24,22
0,1971,Taiyo Wh,2.79,130,4635,4166,363,898,121,13,82,338,78,49,307,629,.216,.273,.310,.583,1291,92,33,107,22,20
0,1971,Hanshin ,2.56,130,4627,4170,333,919,108,10,101,320,68,39,311,749,.220,.280,.324,.603,1350,82,38,92,16,25
0,1970,Yomiuri ,3.84,130,4760,4261,499,1023,164,17,131,474,77,54,382,584,.240,.304,.379,.683,1614,77,21,65,31,42
0,1970,Chunichi,3.35,130,4682,4246,435,994,141,22,118,407,55,43,278,713,.234,.288,.361,.649,1533,97,52,82,24,18
0,1970,Hanshin ,3.35,130,4821,4300,435,1053,173,20,110,411,54,48,334,780,.245,.304,.371,.676,1596,70,45,118,24,26
0,1970,Taiyo Wh,3.35,130,4645,4195,436,1011,155,17,106,408,54,47,279,711,.241,.293,.362,.654,1518,76,35,116,20,18
0,1970,Hiroshim,3.02,130,4663,4175,393,945,117,14,108,377,109,81,336,791,.226,.292,.339,.631,1414,84,62,69,21,26
0,1970,Yakult A,2.58,130,4641,4214,336,907,130,23,69,319,62,55,278,832,.215,.268,.306,.574,1290,81,33,97,19,22
0,1969,Yomiuri ,4.61,130,4995,4425,599,1163,181,15,147,570,89,45,414,686,.263,.330,.410,.741,1815,96,49,74,33,23
0,1969,Sankei A,3.81,130,4811,4304,495,1050,175,9,139,475,45,42,347,767,.244,.306,.386,.691,1660,88,46,92,22,19
0,1969,Chunichi,3.56,130,4772,4356,463,1008,163,23,145,438,56,51,296,810,.231,.284,.379,.663,1652,86,33,64,23,20
0,1969,Taiyo Wh,3.42,130,4766,4331,444,1034,175,15,125,424,39,47,309,741,.239,.292,.373,.665,1614,87,30,71,25,15
0,1969,Hiroshim,3.18,130,4697,4235,414,938,117,6,121,383,101,53,310,783,.221,.284,.338,.621,1430,101,63,76,13,18
0,1969,Hanshin ,3.09,130,4693,4283,402,952,141,14,114,385,34,45,308,861,.222,.280,.342,.622,1463,99,41,46,15,12
0,1968,Yomiuri ,4.87,134,5131,4529,652,1186,189,36,177,628,133,48,446,742,.262,.332,.437,.769,1978,92,50,70,36,37
0,1968,Chunichi,3.72,134,5034,4610,499,1134,187,16,142,474,57,48,295,796,.246,.295,.386,.681,1779,99,36,68,25,15
0,1968,Taiyo Wh,3.71,133,4868,4418,493,1044,166,23,131,455,63,48,321,834,.236,.292,.373,.665,1649,103,32,77,20,10
0,1968,Sankei A,3.71,134,5017,4479,497,1069,153,24,130,477,67,55,380,890,.239,.302,.371,.672,1660,73,35,98,25,26
0,1968,Hanshin ,3.36,133,4878,4419,447,1014,174,22,119,432,34,27,334,779,.229,.288,.360,.647,1589,98,36,65,24,26
0,1968,Hiroshim,3.13,134,4809,4318,420,966,151,11,112,402,104,61,366,777,.224,.289,.342,.630,1475,97,40,58,27,19
0,1967,Yomiuri ,4.44,134,5035,4434,595,1175,165,23,162,555,125,56,465,616,.265,.338,.422,.760,1872,107,32,81,23,46
0,1967,Chunichi,4.04,134,4943,4495,541,1115,197,24,148,516,67,59,291,752,.248,.296,.401,.698,1804,69,32,90,35,32
0,1967,Sankei A,3.73,135,4957,4500,503,1082,177,28,120,474,46,60,342,744,.240,.297,.372,.669,1675,82,33,54,28,23
0,1967,Taiyo Wh,3.53,135,4879,4429,477,1085,194,11,130,445,51,58,305,791,.245,.299,.382,.680,1691,101,40,89,16,15
0,1967,Hanshin ,3.15,136,4855,4476,429,1095,158,29,101,406,41,40,268,698,.245,.290,.361,.651,1614,99,29,54,28,20
0,1967,Hiroshim,3.06,138,5025,4596,422,1035,148,17,82,399,66,45,303,690,.225,.279,.318,.597,1463,97,48,55,23,23
0,1966,Yomiuri ,4.17,134,4985,4352,559,1058,152,27,114,529,148,74,461,638,.243,.319,.369,.688,1606,80,40,100,32,70
0,1966,Chunichi,3.95,132,4847,4435,521,1124,177,26,123,497,80,55,283,567,.253,.301,.388,.689,1722,64,27,77,25,35
0,1966,Taiyo Wh,3.29,130,4704,4347,428,1072,177,17,116,410,59,43,231,606,.247,.287,.375,.662,1631,90,25,74,27,24
0,1966,Hiroshim,3.09,136,4952,4465,420,1044,136,20,78,395,44,52,352,555,.234,.296,.326,.621,1454,101,48,67,20,19
0,1966,Hanshin ,2.86,135,4832,4401,386,1024,157,20,81,365,48,45,308,630,.233,.286,.333,.618,1464,92,27,76,20,34
0,1966,Sankei A,2.70,135,4803,4359,364,935,132,31,86,339,52,52,285,721,.214,.268,.318,.586,1387,87,41,97,21,18
0,1965,Yomiuri ,3.83,140,5207,4598,536,1133,143,24,106,504,109,59,463,609,.246,.318,.357,.675,1642,100,29,92,25,54
0,1965,Taiyo Wh,3.70,140,5083,4612,518,1127,186,17,136,494,85,59,317,701,.244,.295,.381,.676,1755,103,26,100,28,20
0,1965,Chunichi,3.64,140,5163,4682,510,1158,161,31,100,478,130,63,331,603,.247,.298,.359,.657,1681,80,22,94,34,30
0,1965,Hanshin ,2.81,140,4939,4488,393,989,168,25,94,376,86,46,297,639,.220,.272,.332,.604,1489,97,33,87,34,22
0,1965,Hiroshim,2.81,140,5083,4586,394,1057,142,21,72,363,85,65,347,636,.230,.287,.318,.605,1457,91,30,94,26,11
0,1965,Sankei S,2.37,140,5036,4571,332,1010,139,20,64,316,53,62,351,831,.221,.279,.302,.581,1381,113,23,70,21,8
0,1964,Yomiuri ,4.00,140,5201,4576,560,1077,161,22,147,538,128,50,505,705,.235,.314,.377,.690,1723,82,29,67,24,42
0,1964,Taiyo Wh,3.97,140,5222,4718,556,1204,197,16,134,535,71,58,337,661,.255,.308,.389,.697,1835,126,32,111,24,24
0,1964,Hanshin ,3.51,140,5079,4579,492,1101,174,19,114,467,97,47,346,566,.240,.297,.361,.659,1655,121,39,82,33,17
0,1964,Chunichi,3.51,140,5212,4749,492,1204,199,25,114,472,111,55,323,545,.254,.302,.378,.680,1795,113,24,75,41,17
0,1964,Kokutets,3.47,140,5202,4694,486,1138,167,15,117,456,101,57,379,741,.242,.301,.359,.660,1686,133,25,80,24,18
0,1964,Hiroshim,3.32,140,5212,4676,465,1132,159,20,98,452,90,31,382,566,.242,.302,.348,.650,1625,97,33,90,31,19
0,1963,Yomiuri ,4.36,140,5264,4616,611,1140,161,31,143,568,153,63,511,712,.247,.324,.388,.712,1792,91,30,70,37,41
0,1963,Chunichi,3.78,140,5175,4666,529,1149,177,18,120,494,116,67,390,613,.246,.307,.369,.676,1722,98,26,70,23,30
0,1963,Hiroshim,3.68,140,5263,4755,515,1205,187,20,92,487,76,38,361,557,.253,.308,.359,.667,1708,115,27,85,35,12
0,1963,Kokutets,3.37,140,5114,4620,472,1113,168,24,95,449,101,66,368,605,.241,.297,.349,.647,1614,129,16,81,29,8
0,1963,Hanshin ,3.37,140,5087,4614,472,1103,180,25,95,454,79,63,357,593,.239,.297,.351,.648,1618,99,35,58,23,18
0,1963,Taiyo Wh,3.20,140,5062,4532,448,1072,170,11,110,427,73,56,361,592,.237,.295,.352,.646,1594,123,27,108,34,22
0,1962,Chunichi,3.53,133,4952,4504,469,1123,158,26,107,438,68,55,307,715,.249,.299,.367,.667,1654,69,26,88,27,20
0,1962,Yomiuri ,3.37,134,5005,4521,452,1050,188,30,102,428,85,47,354,805,.232,.293,.355,.648,1604,93,39,76,15,24
0,1962,Hiroshim,3.25,134,4927,4477,436,1068,154,28,75,406,66,54,320,737,.239,.292,.336,.628,1503,90,29,71,30,15
0,1962,Taiyo Wh,3.19,134,4841,4466,428,1079,173,18,100,401,61,46,266,768,.242,.286,.356,.641,1588,85,19,68,22,20
0,1962,Hanshin ,2.90,133,4793,4359,386,970,155,26,64,355,68,52,311,698,.223,.279,.314,.593,1369,99,36,68,19,19
0,1962,Kokutets,2.34,134,4811,4409,313,886,138,18,60,294,54,45,279,787,.201,.253,.281,.534,1240,84,31,75,17,12
0,1961,Yomiuri ,3.35,130,4770,4228,435,958,165,30,89,406,78,60,405,657,.227,.297,.343,.640,1450,72,28,84,25,46
0,1961,Chunichi,3.28,130,4746,4251,427,1024,156,30,79,389,88,73,326,574,.241,.297,.347,.645,1477,69,27,112,30,28
0,1961,Taiyo Wh,3.22,130,4760,4295,418,1012,151,23,76,395,119,72,331,783,.236,.292,.335,.627,1437,77,20,96,18,24
0,1961,Hiroshim,3.21,130,4794,4298,417,1026,174,25,74,396,49,49,344,684,.239,.298,.342,.640,1472,80,33,85,34,14
0,1961,Hanshin ,3.12,130,4728,4322,405,1053,164,30,80,382,103,63,284,636,.244,.292,.351,.643,1517,106,23,75,24,16
0,1961,Kokutets,2.98,130,4804,4304,387,979,151,23,58,363,67,50,366,753,.227,.289,.314,.602,1350,82,15,94,25,19
0,1960,Yomiuri ,3.42,130,4745,4218,444,967,153,34,106,416,99,43,403,776,.229,.299,.357,.656,1506,82,26,77,21,59
0,1960,Osaka Ti,3.35,130,4724,4250,436,1028,179,47,87,400,115,59,324,650,.242,.300,.368,.667,1562,85,35,95,20,28
0,1960,Chunichi,3.35,130,4665,4209,436,966,161,35,87,401,160,73,324,639,.230,.287,.346,.634,1458,77,30,71,31,13
0,1960,Hiroshim,3.28,130,4778,4289,426,985,152,36,84,381,97,46,332,757,.230,.288,.341,.629,1461,62,31,100,26,17
0,1960,Taiyo Wh,3.16,130,4614,4156,411,957,169,35,60,381,149,70,323,789,.230,.286,.331,.617,1376,74,12,101,22,30
0,1960,Kokutets,2.98,130,4715,4315,388,1000,161,27,73,361,107,39,267,691,.232,.279,.332,.611,1434,93,21,92,20,15
0,1959,Yomiuri ,4.24,130,4839,4310,551,1055,137,49,117,509,119,49,438,838,.245,.313,.381,.693,1641,94,,62,29,23
0,1959,Chunichi,3.67,130,4707,4288,477,1018,163,27,106,443,131,90,330,664,.237,.290,.362,.652,1553,74,,62,27,15
0,1959,Kokutets,3.25,130,4664,4292,422,987,168,44,62,388,86,59,273,753,.230,.274,.333,.607,1429,87,,72,27,3
0,1959,Hiroshim,3.08,130,4740,4252,401,926,164,30,71,376,82,52,384,804,.218,.281,.321,.602,1363,63,,81,23,10
0,1959,Osaka Ti,2.98,130,4721,4355,388,1032,176,40,76,360,81,55,257,582,.237,.278,.348,.626,1516,81,,88,21,13
0,1959,Taiyo Wh,2.71,130,4639,4233,352,906,140,28,73,330,81,57,310,799,.214,.267,.312,.579,1321,70,,80,16,28
0,1958,Yomiuri ,4.01,130,4707,4285,521,1082,190,36,101,483,130,58,299,760,.253,.299,.384,.683,1647,69,,89,34,26
0,1958,Osaka Ti,3.42,130,4663,4227,444,1008,168,42,88,409,120,58,309,649,.238,.288,.361,.649,1524,77,,98,29,31
0,1958,Chunichi,3.25,130,4721,4286,423,997,170,23,86,384,155,93,297,611,.233,.280,.343,.624,1471,66,,107,31,21
0,1958,Hiroshim,3.13,130,4807,4363,407,969,162,42,80,381,85,47,337,747,.222,.276,.333,.610,1455,79,,82,25,24
0,1958,Kokutets,2.76,130,4673,4266,359,953,131,43,59,317,123,61,302,700,.223,.273,.316,.589,1347,97,,81,24,17
0,1958,Taiyo Wh,2.75,130,4813,4382,357,944,144,26,78,340,57,35,318,747,.215,.268,.314,.581,1374,81,,96,17,15
0,1957,Yomiuri ,3.62,130,4726,4299,471,1034,180,42,93,442,82,51,308,772,.241,.290,.367,.657,1577,73,,97,22,25
0,1957,Osaka Ti,3.55,130,4642,4261,462,1022,147,37,68,411,143,64,271,527,.240,.283,.340,.623,1447,90,,78,32,16
0,1957,Kokutets,3.22,130,4675,4242,418,960,139,30,83,389,144,73,329,728,.226,.280,.332,.612,1408,75,,76,28,7
0,1957,Chunichi,3.11,130,4686,4219,404,925,148,23,63,373,106,87,328,636,.219,.274,.310,.584,1308,56,,116,23,15
0,1957,Taiyo Wh,2.73,130,4637,4248,355,973,141,27,63,327,42,33,283,723,.229,.276,.319,.596,1357,119,,88,18,15
0,1957,Hiroshim,2.71,130,4720,4260,352,912,150,17,65,323,88,36,342,756,.214,.271,.303,.575,1291,89,,101,17,16
0,1956,Yomiuri ,4.37,130,4896,4426,568,1143,183,35,100,532,111,72,334,680,.258,.309,.383,.692,1696,76,,111,25,34
0,1956,Osaka Ti,2.97,130,4616,4240,386,950,149,44,54,341,165,88,292,520,.224,.273,.318,.591,1349,83,,65,19,15
0,1956,Chunichi,2.84,130,4605,4142,369,945,157,28,52,345,71,71,345,577,.228,.286,.317,.604,1314,67,,99,19,13
0,1956,Kokutets,2.66,130,4650,4265,346,929,132,40,58,316,79,70,271,650,.218,.263,.308,.572,1315,73,,95,19,9
0,1956,Hiroshim,2.65,130,4599,4184,344,891,128,27,60,319,101,77,292,675,.213,.263,.299,.563,1253,73,,102,21,9
0,1956,Taiyo Wh,2.45,130,4667,4312,319,895,126,20,74,296,52,53,255,732,.208,.251,.298,.548,1283,84,,83,17,15
0,1955,Yomiuri ,4.45,130,5037,4436,579,1179,156,38,84,540,133,57,449,625,.266,.331,.375,.706,1663,84,,116,36,41
0,1955,Kokutets,3.26,130,4718,4301,424,979,152,22,93,389,106,45,320,627,.228,.280,.338,.618,1454,95,,74,23,11
0,1955,Osaka Ti,3.25,130,4775,4399,423,1104,155,27,51,377,138,86,274,538,.251,.293,.333,.626,1466,96,,70,32,12
0,1955,Hiroshim,3.04,130,4774,4330,395,979,146,25,64,361,141,44,319,584,.226,.278,.316,.594,1367,61,,105,20,13
0,1955,Chunichi,3.00,140,4716,4281,420,1017,179,31,64,386,130,66,323,652,.238,.290,.339,.629,1450,94,,94,18,19
0,1955,Taiyo Wh,2.23,130,4556,4245,290,886,124,14,51,265,51,34,227,676,.209,.248,.281,.529,1191,97,,75,9,15
0,1954,Yomiuri ,4.72,130,4995,4438,613,1201,187,37,88,579,124,50,417,505,.271,.331,.389,.719,1726,96,,100,40,0
0,1954,Osaka Ti,4.38,130,4910,4388,569,1167,168,35,68,515,205,55,396,474,.266,.324,.367,.691,1609,86,,86,40,0
0,1954,Chunichi,3.92,130,4806,4270,510,1093,177,30,70,469,132,68,372,516,.256,.313,.361,.674,1540,92,,128,36,0
0,1954,Kokutets,3.34,130,4700,4344,434,1121,153,28,61,401,105,58,237,505,.258,.294,.348,.643,1513,118,,87,32,0
0,1954,Hiroshim,3.22,130,4741,4239,419,1039,179,17,55,389,120,48,373,506,.245,.304,.334,.639,1417,100,,101,28,0
0,1954,Taiyo-Sh,2.81,130,4667,4338,365,985,167,18,68,333,51,27,236,571,.227,.266,.321,.587,1392,100,,71,22,0
0,1953,Yomiuri ,5.34,125,4857,4324,667,1222,221,27,80,616,114,59,419,392,.283,.346,.402,.748,1737,100,,114,,0
0,1953,Osaka Ti,4.67,130,4962,4453,607,1203,188,43,87,563,134,55,408,430,.270,.331,.390,.722,1738,93,,101,,0
0,1953,Chunichi,4.03,130,4773,4271,524,1072,179,31,66,479,125,53,395,456,.251,.314,.354,.668,1511,86,,107,,0
0,1953,Hiroshim,3.90,130,4869,4354,507,1055,184,18,73,456,174,64,442,504,.242,.312,.343,.655,1494,97,,73,,0
0,1953,Taiyo-Sh,3.59,130,4823,4461,467,1099,161,30,63,417,109,49,299,442,.246,.294,.338,.632,1509,107,,63,,0
0,1953,Kokutets,3.04,125,4469,4103,380,963,142,29,55,346,129,76,296,444,.235,.286,.324,.610,1328,103,,70,,0
0,1952,Yomiuri ,5.42,120,4685,4175,650,1219,203,34,77,598,136,56,426,317,.292,.358,.412,.770,1721,104,,84,,0
0,1952,Osaka Ti,5.00,120,4661,4186,600,1122,182,40,61,547,104,46,403,324,.268,.332,.374,.707,1567,81,,72,,0
0,1952,Nagoya D,4.74,120,4661,4136,569,1093,169,28,77,525,150,57,439,391,.264,.335,.375,.709,1549,95,,86,,0
0,1952,Taiyo Wh,4.33,120,4554,4134,519,1027,178,35,57,462,160,53,368,379,.248,.310,.350,.660,1446,92,,52,,0
0,1952,Kokutets,3.42,120,4318,3946,410,940,121,22,67,371,154,64,312,419,.238,.294,.331,.625,1306,84,,60,,0
0,1952,Hiroshim,3.04,120,4415,3963,365,925,139,24,29,333,44,44,372,372,.233,.299,.303,.602,1199,114,,80,,0
0,1952,Shochiku,2.72,120,4376,4084,326,912,149,20,53,303,127,45,259,509,.223,.270,.309,.578,1260,89,,33,,0
0,1951,Yomiuri ,6.16,114,4480,3950,702,1151,191,34,92,632,192,70,457,320,.291,.365,.427,.792,1686,90,,73,,0
0,1951,Shochiku,5.30,115,4527,4062,609,1087,147,29,105,556,120,42,407,450,.268,.334,.396,.730,1607,85,,58,,0
0,1951,Osaka Ti,4.70,116,4442,3980,545,1069,170,34,67,502,68,34,380,312,.269,.332,.379,.711,1508,113,,82,,0
0,1951,Nagoya D,4.65,113,4301,3825,526,1039,164,33,67,474,161,75,384,317,.272,.338,.384,.722,1470,102,,92,,0
0,1951,Taiyo Wh,4.65,108,4119,3727,502,943,141,17,86,451,66,41,356,377,.253,.318,.369,.687,1376,85,,36,,0
0,1951,Hiroshim,4.06,99,3761,3393,402,831,154,28,42,362,61,37,291,299,.245,.305,.344,.649,1167,76,,77,,0
0,1951,Kokutets,3.64,107,3892,3537,389,868,111,16,36,349,142,46,274,290,.245,.300,.316,.616,1119,113,,81,,0
0,1950,Shochiku,6.63,137,5514,4939,908,1417,179,49,179,825,223,61,550,551,.287,.358,.452,.810,2231,121,,25,,0
0,1950,Osaka Ti,5.47,140,5480,4960,766,1337,234,46,120,706,147,52,475,412,.270,.333,.408,.741,2023,106,,45,,0
0,1950,Chunichi,5.44,137,5271,4787,745,1311,229,54,144,693,179,66,444,422,.274,.335,.435,.770,2080,102,,40,,0
0,1950,Taiyo Wh,5.42,140,5500,4972,759,1356,258,35,111,694,180,60,488,411,.273,.338,.406,.743,2017,117,,40,,0
0,1950,Yomiuri ,5.17,140,5461,4831,724,1297,208,27,126,,212,65,570,490,.268,.346,.401,.747,1937,117,,60,,0
0,1950,Nishi Ni,4.65,136,5197,4731,633,1233,175,42,106,583,165,74,439,446,.261,.323,.383,.706,1810,122,,27,,0
0,1950,Hiroshim,3.70,138,5173,4703,511,1145,162,37,81,463,74,38,418,452,.243,.305,.345,.651,1624,124,,52,,0
0,1950,Kokutets,3.48,138,5070,4626,480,1131,142,37,66,436,104,73,393,541,.244,.304,.334,.638,1545,114,,51,,0
0,1949,Osaka Ti,5.36,137,5372,4890,735,1384,242,45,141,685,128,68,408,420,.283,.341,.437,.778,2139,,21,53,,0
0,1949,Yomiuri ,5.27,134,5194,4673,706,1275,203,42,125,644,112,57,446,406,.273,.339,.415,.753,1937,,20,55,,0
0,1949,Daiei St,5.24,134,5242,4743,702,1292,225,37,130,658,74,41,449,577,.272,.337,.418,.755,1981,,16,34,,0
0,1949,Nankai H,4.90,135,5224,4730,661,1279,202,54,90,597,199,66,444,439,.270,.335,.393,.728,1859,,15,35,,0
0,1949,Chunichi,4.58,137,5247,4849,628,1300,228,35,136,588,111,62,330,418,.268,.318,.414,.731,2006,,23,45,,0
0,1949,Hankyu B,4.57,136,5316,4835,622,1281,197,50,67,569,185,84,407,418,.265,.324,.368,.692,1779,,17,57,,0
0,1949,Taiyo Ro,4.53,133,5126,4695,603,1242,197,42,82,542,71,47,373,478,.265,.322,.377,.699,1769,,23,35,,0
0,1949,Tokyu Fl,4.06,138,5150,4641,560,1126,193,45,93,506,115,56,453,513,.243,.313,.364,.676,1688,,19,37,,0
0,1948,Nankai H,4.23,140,5318,4772,592,1215,203,48,45,531,218,88,470,410,.255,.324,.346,.669,1649,,19,57,,0
0,1948,Yomiuri ,3.96,140,5139,4692,555,1199,168,38,95,516,130,76,350,375,.256,.309,.368,.678,1728,,16,81,,0
0,1948,Osaka Ti,3.87,140,5224,4798,542,1256,205,51,50,499,166,60,346,338,.262,.314,.357,.671,1713,,16,64,,0
